OBJECTID,N_SQ_QU,C_QU,C_QUINSEE,L_QU,C_AR,N_SQ_AR,SHAPE_Length,SHAPE_Area
1,750000001,1,7510101,St-Germain-l'Auxerrois,1,750000001,5057.33281,869000.701458
2,750000002,2,7510102,Halles,1,750000001,2606.304938,412458.505604
3,750000003,3,7510103,Palais-Royal,1,750000001,2166.750173,273696.774967
4,750000004,4,7510104,Place-Vendôme,1,750000001,2147.734368,269456.78035
5,750000005,5,7510201,Gaillon,2,750000002,1866.91355,188012.21034
6,750000006,6,7510202,Vivienne,2,750000002,2058.394019,243550.785407
7,750000007,7,7510203,Mail,2,750000002,2179.068235,278142.592255
8,750000008,8,7510204,Bonne-Nouvelle,2,750000002,2233.88639,281448.230726
9,750000009,9,7510301,Arts-et-Metiers,3,750000003,2482.360804,318087.756151
10,750000010,10,7510302,Enfants-Rouges,3,750000003,2139.53557,271750.361845
11,750000011,11,7510303,Archives,3,750000003,2533.985795,367728.383077
12,750000012,12,7510304,Saint-Avoye,3,750000003,1861.724947,213316.363341
13,750000013,13,7510401,Saint-Merri,4,750000004,2345.892705,313040.396333
14,750000014,14,7510402,Saint-Gervais,4,750000004,2678.208013,422028.167767
15,750000015,15,7510403,Arsenal,4,750000004,2878.401463,487264.920842
16,750000016,16,7510404,Notre-Dame,4,750000004,3282.999706,378252.119681
17,750000017,17,7510501,Saint-Victor,5,750000005,3087.040885,604156.10623
18,750000018,18,7510502,Jardin-des-Plantes,5,750000005,4052.473241,798389.392332
19,750000019,19,7510503,Val-de-Grace,5,750000005,3485.614476,703631.197748
20,750000020,20,7510504,Sorbonne,5,750000005,2892.781241,433197.78704
21,750000021,21,7510601,Monnaie,6,750000006,2391.003081,293360.550541
22,750000022,22,7510602,Odeon,6,750000006,3516.110554,716148.308487
23,750000023,23,7510603,Notre-Dame-des-Champs,6,750000006,4559.726831,861307.080279
24,750000024,24,7510604,Saint-Germain-des-Prés,6,750000006,2565.767768,282279.951705
25,750000025,25,7510701,Saint-Thomas-d'Aquin,7,750000007,3827.053382,826559.434047
26,750000026,26,7510702,Invalides,7,750000007,4434.443345,1073733.73982
27,750000027,27,7510703,Ecole-Militaire,7,750000007,3887.493658,807870.781614
28,750000028,28,7510704,Gros-Caillou,7,750000007,4720.770765,1381893.236954
29,750000029,29,7510801,Champs-Elysées,8,750000008,5480.448996,1140254.022825
30,750000030,30,7510802,Faubourg-du-Roule,8,750000008,3773.554627,796589.072599
31,750000031,31,7510803,Madeleine,8,750000008,3791.375868,760726.564372
32,750000032,32,7510804,Europe,8,750000008,4803.104133,1182466.944389
33,750000033,33,7510901,Saint-Georges,9,750000009,3429.092999,717091.559919
34,750000034,34,7510902,Chaussée-d'Antin,9,750000009,3133.472123,543441.169367
35,750000035,35,7510903,Faubourg-Montmartre,9,750000009,2786.448892,417335.082313
36,750000036,36,7510904,Rochechouart,9,750000009,2862.36928,500435.418221
37,750000037,37,7511001,Saint-Vincent-de-Paul,10,750000010,4072.679643,926865.232672
38,750000038,38,7511002,Porte-Saint-Denis,10,750000010,2736.200074,472113.550753
39,750000039,39,7511003,Porte-Saint-Martin,10,750000010,3245.778164,609034.627258
40,750000040,40,7511004,Hôpital-Saint-Louis,10,750000010,4453.038411,883726.012951
41,750000041,41,7511101,Folie-Méricourt,11,750000011,3724.205753,725752.447925
42,750000042,42,7511102,Saint-Ambroise,11,750000011,4052.387149,837992.969018
43,750000043,43,7511103,Roquette,11,750000011,4972.768832,1172086.953053
44,750000044,44,7511104,Sainte-Marguerite,11,750000011,4591.074214,929609.286367
45,750000045,45,7511201,Bel-Air,12,750000012,18426.600039,5970920.58071
46,750000046,46,7511202,Picpus,12,750000012,18260.602587,7205014.40502
47,750000047,47,7511203,Bercy,12,750000012,6154.591415,1902932.254404
48,750000048,48,7511204,Quinze-Vingts,12,750000012,4509.226476,1235915.63104
49,750000049,49,7511301,Salpêtrière,13,750000013,4758.777675,1181560.300892
50,750000050,50,7511302,Gare,13,750000013,7069.818989,3044177.457251
51,750000051,51,7511303,Maison-Blanche,13,750000013,6813.834578,2231505.793587
52,750000052,52,7511304,Croulebarbe,13,750000013,3289.004737,692067.704644
53,750000053,53,7511401,Montparnasse,14,750000014,4564.840666,1126205.404727
54,750000054,54,7511402,Parc-de-Montsouris,14,750000014,5223.847712,1357950.397559
55,750000055,55,7511403,Petit-Montrouge,14,750000014,5490.212785,1345774.253478
56,750000056,56,7511404,Plaisance,14,750000014,5961.278886,1784947.888184
57,750000057,57,7511501,Saint-Lambert,15,750000015,6928.31979,2829201.598694
58,750000058,58,7511502,Necker,15,750000015,5979.34751,1578484.189096
59,750000059,59,7511503,Grenelle,15,750000015,4932.671894,1478299.065897
60,750000060,60,7511504,Javel,15,750000015,8068.454942,2609009.405371
61,750000061,61,7511601,Auteuil,16,750000016,12451.602243,6383887.724983
62,750000062,62,7511602,Muette ,16,750000016,11961.948629,5477898.298247
63,750000063,63,7511603,Porte-Dauphine,16,750000016,7446.789176,3086718.39071
64,750000064,64,7511604,Chaillot,16,750000016,5206.852321,1424035.268332
65,750000065,65,7511701,Ternes,17,750000017,5264.463433,1465070.899739
66,750000066,66,7511702,Plaine-Monceau,17,750000017,5247.240899,1383507.715816
67,750000067,67,7511703,Batignolles,17,750000017,5832.584268,1441710.846844
68,750000068,68,7511704,Epinettes,17,750000017,5171.633154,1378544.964187
69,750000069,69,7511801,Grandes-Carrières,18,750000018,6398.362548,1905565.905315
70,750000070,70,7511802,Clignancourt,18,750000018,6005.408917,1653715.156318
71,750000071,71,7511803,Goutte-d'Or,18,750000018,5176.315801,1089225.592331
72,750000072,72,7511804,La Chapelle,18,750000018,5261.350434,1347544.548365
73,750000073,73,7511901,Villette,19,750000019,5190.90196,1285705.055822
74,750000074,74,7511902,Pont-de-Flandre,19,750000019,6397.792794,2376238.113407
75,750000075,75,7511903,Amérique,19,750000019,6398.856011,1835720.247094
76,750000076,76,7511904,Combat,19,750000019,4435.143632,1294987.860126
77,750000077,77,7512001,Belleville,20,750000020,3738.322916,806568.633183
78,750000078,78,7512002,Saint-Fargeau,20,750000020,5404.83805,1486971.486753
79,750000079,79,7512003,Père-Lachaise,20,750000020,5013.444596,1599001.996531
80,750000080,80,7512004,Charonne,20,750000020,6167.023059,2090903.977119
